,CountVectorizer,HashingVectorizer,TfidfVectorizer
CalibratedClassifierCV,34% (1 ms / 0 ms),46% (6 ms / 0 ms),58% (1 ms / 0 ms)
LinearDiscriminantAnalysis,17% (1 ms / 0 ms),17% (224 ms / 0 ms),17% (1 ms / 0 ms)
DummyClassifier,17% (0 ms / 0 ms),17% (0 ms / 0 ms),17% (0 ms / 0 ms)
AdaBoostClassifier,22% (5 ms / 0 ms),22% (691 ms / 0 ms),22% (5 ms / 0 ms)
BaggingClassifier,34% (4 ms / 0 ms),28% (181 ms / 0 ms),29% (4 ms / 0 ms)
ExtraTreesClassifier,29% (4 ms / 0 ms),25% (97 ms / 0 ms),30% (5 ms / 0 ms)
GradientBoostingClassifier,34% (164 ms / 0 ms),40% (9002 ms / 0 ms),34% (185 ms / 0 ms)
RandomForestClassifier,21% (4 ms / 0 ms),30% (79 ms / 0 ms),21% (4 ms / 0 ms)
GaussianProcessClassifier,19% (3 ms / 2 ms),,17% (4 ms / 2 ms)
LogisticRegression,48% (16 ms / 0 ms),19% (370 ms / 0 ms),20% (2 ms / 0 ms)
LogisticRegressionCV,50% (179 ms / 0 ms),45% (19084 ms / 0 ms),47% (79 ms / 0 ms)
PassiveAggressiveClassifier,52% (1 ms / 0 ms),51% (3 ms / 0 ms),52% (0 ms / 0 ms)
Perceptron,47% (0 ms / 0 ms),45% (2 ms / 0 ms),56% (0 ms / 0 ms)
RidgeClassifier,54% (1 ms / 0 ms),38% (10 ms / 0 ms),40% (0 ms / 0 ms)
RidgeClassifierCV,54% (1 ms / 0 ms),51% (3 ms / 0 ms),53% (0 ms / 0 ms)
SGDClassifier,45% (1 ms / 0 ms),52% (2 ms / 0 ms),56% (0 ms / 0 ms)
BernoulliNB,17% (0 ms / 0 ms),17% (2 ms / 0 ms),17% (0 ms / 0 ms)
CategoricalNB,,,17% (13 ms / 0 ms)
ComplementNB,57% (1 ms / 0 ms),,51% (0 ms / 0 ms)
GaussianNB,47% (0 ms / 0 ms),,49% (1 ms / 0 ms)
MultinomialNB,40% (0 ms / 0 ms),,18% (0 ms / 0 ms)
KNeighborsClassifier,29% (0 ms / 0 ms),33% (0 ms / 0 ms),44% (0 ms / 0 ms)
NearestCentroid,42% (0 ms / 0 ms),39% (1 ms / 0 ms),38% (0 ms / 0 ms)
MLPClassifier,38% (14 ms / 0 ms),41% (12697 ms / 0 ms),53% (54 ms / 0 ms)
LinearSVC,54% (1 ms / 0 ms),45% (1 ms / 0 ms),47% (0 ms / 0 ms)
NuSVC,32% (1 ms / 0 ms),22% (0 ms / 0 ms),21% (0 ms / 0 ms)
SVC,17% (0 ms / 0 ms),17% (0 ms / 0 ms),17% (0 ms / 0 ms)
DecisionTreeClassifier,30% (1 ms / 0 ms),33% (19 ms / 0 ms),34% (1 ms / 0 ms)
ExtraTreeClassifier,34% (0 ms / 0 ms),21% (2 ms / 0 ms),24% (0 ms / 0 ms)